scenario,cohort,metric,smpc_mean,dmpc_mean,mean_diff_text,rank_biserial,p_text,q_text
nocturnal,adolescent,LBGI,0.19017210996392037,0.1863395567537292,"0.00 [-0.01, 0.02]",0.010693069306930703,0.927,0.99
nocturnal,adult,LBGI,0.09169470637587139,0.09840121782266423,"-0.01 [-0.02, 0.01]",0.24316831683168316,0.0478,0.116
nocturnal,child,LBGI,1.4337685638741484,10.603092656543978,"-9.17 [-14.59, -4.34]",0.5607920792079208,1.12e-06,3.54e-05
standard,adolescent,LBGI,0.490866627320046,0.4754094456016407,"0.02 [-0.02, 0.05]",0.011881188118811892,0.919,1
standard,adult,LBGI,0.2928137314579048,0.31269247765558783,"-0.02 [-0.07, 0.03]",0.09029702970297027,0.47,0.604
standard,child,LBGI,2.394354072728476,15.510217632385878,"-13.12 [-20.19, -6.82]",0.45029702970297025,9.25e-05,0.000486
variable,adolescent,LBGI,1.1429430503988016,2.714598924053108,"-1.57 [-3.99, -0.09]",0.12673267326732673,0.271,0.427
variable,adult,LBGI,0.7221390178027294,0.8321933636046529,"-0.11 [-0.27, -0.01]",0.13544554455445545,0.24,0.398
variable,child,LBGI,3.147335014499167,13.956694614402457,"-10.81 [-16.31, -5.82]",0.42851485148514856,0.0002,0.000842
nocturnal,adolescent,TBR,0.4131944444444444,0.3784722222222222,"0.03 [-0.03, 0.11]",0.8136633663366337,0.293,0.43
nocturnal,adult,TBR,0.06944444444444443,0.05208333333333333,"0.02 [-0.03, 0.08]",0.8827722772277228,0.735,0.857
nocturnal,child,TBR,5.368055555555555,12.159722222222227,"-6.79 [-9.99, -4.06]",0.7091089108910891,1.6e-07,1.01e-05
standard,adolescent,TBR,1.8576388888888888,1.7430555555555554,"0.11 [-0.05, 0.28]",0.7221782178217822,0.179,0.322
standard,adult,TBR,0.986111111111111,1.0277777777777777,"-0.04 [-0.30, 0.22]",0.7188118811881188,0.336,0.46
standard,child,TBR,6.618055555555555,13.21527777777778,"-6.60 [-9.80, -3.84]",0.5891089108910892,1.5e-05,0.000236
variable,adolescent,TBR,3.916666666666666,5.25,"-1.33 [-3.21, 0.01]",0.5623762376237624,0.304,0.436
variable,adult,TBR,2.777777777777778,3.0486111111111107,"-0.27 [-0.79, 0.13]",0.6514851485148515,0.319,0.446
variable,child,TBR,7.965277777777777,15.614583333333336,"-7.65 [-11.02, -4.70]",0.5776237623762377,0.000118,0.00053
nocturnal,adolescent,TIR,96.26041666666669,96.48611111111111,"-0.23 [-0.45, -0.05]",0.5368316831683169,0.0691,0.145
nocturnal,adult,TIR,94.54861111111111,94.35763888888889,"0.19 [-0.19, 0.62]",0.44970297029702966,0.201,0.342
nocturnal,child,TIR,86.92708333333331,81.14930555555557,"5.78 [3.23, 8.61]",0.40811881188118815,0.000828,0.00307
standard,adolescent,TIR,94.98958333333334,95.21527777777779,"-0.23 [-0.47, -0.02]",0.3821782178217822,0.169,0.313
standard,adult,TIR,93.86458333333334,93.68055555555557,"0.18 [-0.35, 0.82]",0.33069306930693065,0.286,0.429
standard,child,TIR,86.2361111111111,80.40972222222223,"5.83 [3.20, 8.72]",0.3712871287128713,0.00198,0.00625
variable,adolescent,TIR,88.00694444444443,87.09722222222221,"0.91 [-0.26, 2.49]",0.2728712871287129,0.712,0.847
variable,adult,TIR,85.9861111111111,85.375,"0.61 [0.10, 1.23]",0.40871287128712874,0.0449,0.113
variable,child,TIR,84.09027777777777,77.89236111111111,"6.20 [3.62, 9.00]",0.4001980198019802,0.00128,0.00425
nocturnal,adolescent,Time_below_54,0.09027777777777779,0.0798611111111111,"0.01 [0.00, 0.03]",1.0,0.157,0.3
nocturnal,adult,Time_below_54,0.0,0.0,"0.00 [0.00, 0.00]",1.0,nan,1
nocturnal,child,Time_below_54,1.8333333333333335,8.04513888888889,"-6.21 [-9.33, -3.41]",0.7269306930693069,2.93e-05,0.000205
standard,adolescent,Time_below_54,0.517361111111111,0.4444444444444445,"0.07 [-0.04, 0.19]",0.8879207920792079,0.0338,0.0889
standard,adult,Time_below_54,0.1770833333333333,0.2152777777777778,"-0.04 [-0.19, 0.07]",0.8847524752475248,0.99,1
standard,child,Time_below_54,2.604166666666667,9.3125,"-6.71 [-9.90, -3.87]",0.6629702970297029,0.000255,0.001
variable,adolescent,Time_below_54,1.458333333333333,2.7118055555555554,"-1.25 [-2.87, -0.09]",0.7918811881188119,0.0613,0.138
variable,adult,Time_below_54,0.8611111111111112,1.1840277777777777,"-0.32 [-0.70, -0.06]",0.8558415841584158,0.0643,0.14
variable,child,Time_below_54,3.7361111111111116,9.989583333333332,"-6.25 [-9.16, -3.68]",0.525940594059406,0.00216,0.00649
