controller,scenario,cohort,patients_profiled,control_updates,mean_solve_time_ms,p95_solve_time_ms,max_solve_time_ms,mean_iterations,p95_iterations,solver_success_rate,mean_wall_time_per_subject_ms
stochastic_mpc,standard,adult,20,6720,3.714344569951728,5.620419955812395,36.794199841097,138.44494047619048,275.0,1.0,1424.0657999762334
stochastic_mpc,standard,adolescent,20,6720,3.382085268649029,5.075645225588231,13.157600071281195,138.01339285714286,250.0,1.0,1296.29526498029
stochastic_mpc,standard,child,20,6720,3.3716311905923897,5.055334966164081,8.002399932593107,169.2001488095238,350.0,1.0,1289.9967450415716
stochastic_mpc,variable,adult,20,6720,3.389125473629628,5.065499921329318,9.476299863308668,139.453125,250.0,1.0,1299.00315500563
stochastic_mpc,variable,adolescent,20,6720,3.4340638550929725,5.172510037664322,13.390500098466873,138.91741071428572,250.0,1.0,1317.8735300316475
stochastic_mpc,variable,child,20,6720,3.4364627846073184,5.148729868233202,10.374899953603745,168.56026785714286,325.0,1.0,1315.0695449556224
stochastic_mpc,nocturnal,adult,20,6720,3.402486398963014,5.0654149148613214,9.430599864572287,137.84598214285714,250.0,1.0,1304.5471249846742
stochastic_mpc,nocturnal,adolescent,20,6720,3.3283395395084794,5.039314855821431,14.568600105121732,139.34895833333334,250.0,1.0,1276.7293500015512
stochastic_mpc,nocturnal,child,20,6720,3.517994032015503,5.239504959899932,41.36050003580749,172.44791666666666,350.0,1.0,1347.500175028108
deterministic_mpc,standard,adult,20,6720,2.9173590300377414,4.50099982554093,12.176299933344126,229.49404761904762,375.0,0.7489583333333333,1138.5735449614003
deterministic_mpc,standard,adolescent,20,6720,2.956418275217792,4.513569909613577,13.126000063493848,229.41592261904762,375.0,0.7568452380952381,1154.609310021624
deterministic_mpc,standard,child,20,6720,2.969150447010872,4.45267002796754,9.175400016829371,192.43675595238096,400.0,0.6083333333333333,1160.3936950210482
deterministic_mpc,variable,adult,20,6720,3.0084122021175324,4.523174872156232,10.213200002908707,217.38467261904762,375.0,0.7080357142857143,1176.2179250014015
deterministic_mpc,variable,adolescent,20,6720,3.008342722058019,4.495180118829011,20.855499897152185,222.81994047619048,375.0,0.7257440476190476,1174.7688449569978
deterministic_mpc,variable,child,20,6720,2.9590121282256274,4.430009867064653,6.9598001427948475,178.0952380952381,400.0,0.5409226190476191,1157.639860000927
deterministic_mpc,nocturnal,adult,20,6720,2.998087575993157,4.465395002625877,10.182300116866827,245.24925595238096,375.0,0.8197916666666667,1170.4589400091209
deterministic_mpc,nocturnal,adolescent,20,6720,3.014910369945158,4.420065123122185,20.635700086131692,236.91592261904762,375.0,0.8046130952380952,1177.4038749863394
deterministic_mpc,nocturnal,child,20,6720,2.9370948065618343,4.564174951519816,18.093400169163942,203.08407738095238,400.0,0.64375,1147.5107050151564
pid,standard,adult,20,6720,0.018205103662607837,0.03549993271008134,0.6293999031186104,0.0,0.0,0.0,50.491574965417385
pid,standard,adolescent,20,6720,0.017053571562947973,0.031299889087677,1.0989999864250422,0.0,0.0,0.0,47.06833502277732
pid,standard,child,20,6720,0.01860938926776206,0.035105133429169585,0.9907998610287905,0.0,0.0,0.0,50.602260034065694
pid,variable,adult,20,6720,0.017191426533307613,0.031105114612728284,0.6925999186933041,0.0,0.0,0.0,47.24513494875282
pid,variable,adolescent,20,6720,0.018000819268525533,0.0341051374562084,0.5747000686824322,0.0,0.0,0.0,49.75454999366775
pid,variable,child,20,6720,0.01780882316996299,0.0325001310557127,0.596500001847744,0.0,0.0,0.0,48.1366099906154
pid,nocturnal,adult,20,6720,0.01908197962274287,0.032899901270866394,0.9584999643266201,0.0,0.0,0.0,53.00145500805229
pid,nocturnal,adolescent,20,6720,0.018339434436278508,0.03160000778734684,0.9926999919116497,0.0,0.0,0.0,52.18362002633512
pid,nocturnal,child,20,6720,0.017349451428301455,0.031800009310245514,0.560099957510829,0.0,0.0,0.0,47.644370002672076
